,Manufacturer,year,DESCRIPTION OF FACTS CAUSING DISENGAGEMENT,Label
19921,CM,20,Safety precaution: Vehicle merging,
26592,CM,19,Safety precaution: The vehicle was not performing optimally given aggressive vehicles or heavy traffic. Test driver disengaged as a precautionary measure to address traffic conditions and log issue.,
26620,CM,19,Safety precaution: The vehicle was not performing optimally given heavy traffic. Test driver disengaged as a precautionary measure to address traffic conditions and log issue.,
19941,CM,20,Motion & Planning Issue: Wrong trajectory at highway exit,
26504,CM,18,"Safety precaution: Radar detection performance was not ideal at the time to detect objects, which jumps between objects on the left and right. Test Driver disengaged to log issue for further examination.",
19950,CM,20,Motion & Planning Issue: Wrong trajectory at highway exit,
26573,CM,19,Safety precaution: the vehicle drop the speed while there is a aggressive vehicle behind. Test driver disengaged and log it.,
26637,CM,19,Motion and planning issue: The vehicle planned speed was not ideal at the traffic light. Test driver disengaged to keep safe and log the issue for further examination.,
26570,CM,19,Safety precaution: the vehicle drop the speed while there is a aggressive vehicle behind. Test driver disengaged and log it.,
26624,CM,19,Motion and planning issue: The vehicle speed had an unexpected slowdown. Test driver disengaged to speed up and log for further examination.,
26505,CM,18,"Safety precaution: Radar detection performance was not ideal at the time to detect objects, which jumps between objects on the left and right. Test Driver disengaged to log issue for further examination.",
26511,CM,19,Control issue: control performance was not ideal to follow the path/trajectory for highway setting and needed fine tuning for safe operation. Test driver disengaged to log issue for further examination.,
26507,CM,19,Motion and planning issue: The vehicle s planned path/trajectory were not ideal for Street setting causing the testing vehicle to be off-centered. Test driver disengaged to log issue for further examination.,
26641,CM,19,Motion and planning issue: The vehicle didn't output the routing signal for lane change. Test driver disengaged and log the issue for further examination.,
16157,BC,20,The operator disengaged the system manually to remain in the operational design domain. The driver performed a steering manouver to correct the trajectory of the vehicle.,
16237,BC,21,The operator disengaged the system manually to remain in the operational design domain. This was accomplished by pressing the brake pedal to reduce the velocity of the vehicle.,
16264,BC,21,The planner was not able to generate a valid trajectory. The system asked the operator to take control of the vehicle. A valid trajectory could not be generated.,
16173,BC,21,An issue with data recorder caused the system to disengage. The system asked the operator to take control of the vehicle.,
16292,BC,21,The planner was not able to generate a valid trajectory. The system asked the operator to take control of the vehicle.,
16285,BC,21,The operator disengaged the system manually to remain in the operational design domain. This was achieved by pressing the accelerator pedal to increase velocity of the vehicle. This was accomplished by pressing the brake pedal to reduce the velocity of the vehicle. An issue with motion control system caused the system to disengage. The system asked the operator to take control of the vehicle.,
16393,BC,21,The planner was not able to generate a valid trajectory within a time cycle. The system asked the operator to take control of the vehicle.,
14075,BC,22,The operator disengaged the system manually to remain in the operational design domain. This was achieved by pressing the accelerator pedal to increase velocity of the vehicle.,
16234,BC,21,The planner was not able to generate a valid trajectory within a time cycle. The system asked the operator to take control of the vehicle.,
16281,BC,21,The operator disengaged the system manually to remain in the operational design domain. The driver performed a steering manouver to correct the trajectory of the vehicle.,
16340,BC,21,An issue with planner component caused the system to disengage. The system asked the operator to take control of the vehicle.,
14077,BC,22,Invalid control unit operation.Test driver disengaged due to planning system choosing a trajectory that is too fast and aggressive.   ,
16402,BC,21,The operator disengaged the system manually to remain in the operational design domain. This was accomplished by pressing the brake pedal to reduce the velocity of the vehicle.,
16144,BC,20,The operator disengaged the system manually to remain in the operational design domain. The driver performed a steering manouver to correct the trajectory of the vehicle.,
16286,BC,21,The operator disengaged the system manually to remain in the operational design domain. This was accomplished by pressing the brake pedal to reduce the velocity of the vehicle.,
16210,BC,21,The operator disengaged the system manually to remain in the operational design domain. This was achieved by pressing the accelerator pedal to increase velocity of the vehicle. This was accomplished by pressing the brake pedal to reduce the velocity of the vehicle.,
16176,BC,21,An issue with data recorder caused the system to disengage. The system asked the operator to take control of the vehicle.,
16132,BC,20,The operator disengaged the system manually to remain in the operational design domain. The driver performed a steering manouver to correct the trajectory of the vehicle.,
16317,BC,21,An issue with planner component caused the system to disengage. The system asked the operator to take control of the vehicle.,
16275,BC,21,The operator disengaged the system manually to remain in the operational design domain. This was achieved by pressing the accelerator pedal to increase velocity of the vehicle. This was accomplished by pressing the brake pedal to reduce the velocity of the vehicle.,
25899,BU,19,Disengage due to operator discomfort,
16444,BU,21,Test driver disengaged due to planning system choosing a trajectory that is too fast and aggressive.,
25855,BU,19,Disengage due to operator discomfort,
25992,BU,19,Disengage due to operator discomfort,
26170,BU,19,Disengage due to operator discomfort,
25809,BU,19,Disengage due to operator discomfort,
26305,BU,19,Disengage due to operator discomfort,
26067,BU,19,Disengage due to operator discomfort,
25813,BU,19,Disengage due to operator discomfort,
25863,BU,19,Disengage due to operator discomfort,
25971,BU,19,Disengage due to operator discomfort,
26275,BU,19,Disengage due to operator discomfort,
25708,BU,18,Disengage due to software discrepency,
25712,BU,18,Disengage due to software discrepency,
26077,BU,19,Disengage due to operator discomfort,
26089,BU,19,Disengage due to operator discomfort,
19562,BU,20,Disengage due to operator discomfort,
25704,BU,18,Disengage due to software discrepency,
16502,BU,21,Test driver disengaged due to planning system choosing a trajectory that is too fast and aggressive.,
26057,BU,19,Disengage due to operator discomfort,
17463,BK,21,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
14758,BK,22,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances,
14663,BK,22,Disengage for a perception discrepancy for which a component of the vehicle's perception system failed to detect an object correctly,
14608,BK,22,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances,
17531,BK,21,Disengage for a perception discrepancy for which a component of the vehicle's perception system failed to detect an object correctly,
17425,BK,21,Disengage for a recklessly behaving road user,
17371,BK,21,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances,
17369,BK,20,Disengage for a hardware discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a hardware component of the self-driving system or a component of the base vehicle,
17556,BK,21,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
14755,BK,22,Disengage for a perception discrepancy for which a component of the vehicle's perception system failed to detect an object correctly,
14726,BK,22,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances,
14696,BK,22,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances,
14709,BK,22,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances,
14664,BK,22,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances,
17547,BK,21,Disengage for incorrect behavior prediction of other traffic participants,
17546,BK,21,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
14642,BK,22,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances,
14759,BK,22,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances,
17599,BK,21,Disengage for a perception discrepancy for which a component of the vehicle's perception system failed to detect an object correctly,
17406,BK,21,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
13600,AJ,10,"The system disengaged due to undesirable performance, indicating in most cases either that the system took longer to operate than the prescribed limits, an exception condition or a software bug.  In each of these cases, the AV operator was alerted to take control and did so without the need for the system to achieve a Minimal Risk Condition. ",
4992,AJ,23,"The autonomous system perceives and understands the environment by processing raw camera and radar inputs, detecting surfaces and objects in a scene, and calculating distance, velocity and motion vector for every pixel.  Ghost AV Test Drivers are trained to disengage proactively.  The AV Test Driver took control based on their assessment that the Ghost vehicle was driving too closely to the preceding vehicle in the particular driving environment.",
13278,AJ,22,"The AV Test Driver took control from the autonomous system due to undesirable lane placement.  AV Test Drivers consider various factors, including the amount of traffic and the behavior of any surrounding vehicles. In addition to their own perception, an in-vehicle display provides input on the vehicle's lane placement.  Also incorporated is an advanced system for fluid exchange between the driver and the system without the need for buttons or switches.  This allows the AV Test Drivers to take control to provide a transitory adjustment.  In this case, the AV Test Driver took control from the autonomous system when the vehicle made contact with a lane marker. ",
4377,AJ,23,"The autonomous system perceives and understands the environment by processing raw camera and radar inputs, detecting surfaces and objects in a scene, and calculating distance, velocity and motion vector for every pixel.  Ghost AV Test Drivers are trained to disengage proactively.  The AV Test Driver took control of the vehicle in response to unexpected braking or the system braking with too much or too little force in the particular driving environment.",
13571,AJ,22,The AV Test Driver took control after engaging the autonomous system due to immediate unexpected behavior of the system.  The AV Safety Drivers are trained to take control proactively should the system not operate as expected. ,
4524,AJ,23,"The AV Test Driver took control from the autonomous system due to undesirable lane placement.  AV Test Drivers consider various factors, including the amount of traffic and the behavior of any surrounding vehicles. In addition to their own perception, an in-vehicle display provides input on the vehicle's lane placement.  Also incorporated is an advanced system for fluid exchange between the driver and the system without the need for buttons or switches.  This allows the AV Test Drivers to take control to provide a transitory adjustment.  In this case, the AV Test Driver took control from the autonomous system in response to the lateral movement of the vehicle within the lane. ",
5046,AJ,23,"The AV Test Driver took control from the autonomous system due to undesirable lane placement.  AV Test Drivers consider various factors, including the amount of traffic and the behavior of any surrounding vehicles. In addition to their own perception, an in-vehicle display provides input on the vehicle's lane placement.  Also incorporated is an advanced system for fluid exchange between the driver and the system without the need for buttons or switches.  This allows the AV Test Drivers to take control to provide a transitory adjustment.  In this case, the AV Test Driver took control from the autonomous system in response to the lateral movement of the vehicle within the lane. ",
5094,AJ,23,"The system disengaged due to undesirable performance, indicating in most cases either that the system took longer to operate than the prescribed limits, an exception condition or a software bug.  In each of these cases, the AV operator was alerted to take control and did so without the need for the system to achieve a Minimal Risk Condition. ",
4655,AJ,23,"The autonomous system perceives and understands the environment by processing raw camera and radar inputs, detecting surfaces and objects in a scene, and calculating distance, velocity and motion vector for every pixel.  Ghost AV Test Drivers are trained to disengage proactively.  The AV Test Driver took control based on their assessment that the Ghost vehicle was driving too closely to the preceding vehicle in the particular driving environment.",
13325,AJ,22,"The autonomous system perceives and understands the environment by processing raw camera inputs, detecting surfaces and objects in a scene, and calculating distance, velocity and motion vector for every pixel.  Ghost AV Test Drivers are trained to disengage proactively.  The AV Test Driver took control based on their assessment that the Ghost vehicle was driving too closely to the preceding vehicle in the particular driving environment.",
4449,AJ,23,"The autonomous system perceives and understands the environment by processing raw camera and radar inputs, detecting surfaces and objects in a scene, and calculating distance, velocity and motion vector for every pixel.  Ghost AV Test Drivers are trained to disengage proactively.  The AV Test Driver took control of the vehicle in response to unexpected braking or the system braking with too much or too little force in the particular driving environment.",
4886,AJ,23,"The autonomous system perceives and understands the environment by processing raw camera and radar inputs, detecting surfaces and objects in a scene, and calculating distance, velocity and motion vector for every pixel.  Ghost AV Test Drivers are trained to disengage proactively.  The AV Test Driver took control of the vehicle in response to unexpected braking or the system braking with too much or too little force in the particular driving environment.",
13551,AJ,22,"The autonomous system perceives and understands the environment by processing raw camera inputs, detecting surfaces and objects in a scene, and calculating distance, velocity and motion vector for every pixel.  Ghost AV Test Drivers are trained to disengage proactively.  The AV Test Driver took control of the vehicle in response to unexpected braking or the system braking with too much or too little force in the particular driving environment.  ",
5045,AJ,23,"The AV Test Driver took control from the autonomous system due to undesirable lane placement.  AV Test Drivers consider various factors, including the amount of traffic and the behavior of any surrounding vehicles. In addition to their own perception, an in-vehicle display provides input on the vehicle's lane placement.  Also incorporated is an advanced system for fluid exchange between the driver and the system without the need for buttons or switches.  This allows the AV Test Drivers to take control to provide a transitory adjustment.  In this case, the AV Test Driver took control from the autonomous system when the vehicle overrode a lane marker. ",
5080,AJ,23,"The autonomous system perceives and understands the environment by processing raw camera and radar inputs, detecting surfaces and objects in a scene, and calculating distance, velocity and motion vector for every pixel.  Ghost AV Test Drivers are trained to disengage proactively.  The AV Test Driver took control of the vehicle in response to unexpected braking or the system braking with too much or too little force in the particular driving environment.",
13559,AJ,22,"The AV Test Driver took control from the autonomous system due to undesirable lane placement.  AV Test Drivers consider various factors, including the amount of traffic and the behavior of any surrounding vehicles. In addition to their own perception, an in-vehicle display provides input on the vehicle's lane placement.  Also incorporated is an advanced system for fluid exchange between the driver and the system without the need for buttons or switches.  This allows the AV Test Drivers to take control to provide a transitory adjustment.  In this case, the AV Test Driver took control from the autonomous system when the vehicle overrode a lane marker. ",
13523,AJ,22,"The AV Test Driver took control from the autonomous system due to undesirable lane placement.  AV Test Drivers consider various factors, including the amount of traffic and the behavior of any surrounding vehicles. In addition to their own perception, an in-vehicle display provides input on the vehicle's lane placement.  Also incorporated is an advanced system for fluid exchange between the driver and the system without the need for buttons or switches.  This allows the AV Test Drivers to take control to provide a transitory adjustment.  In this case, the AV Test Driver took control from the autonomous system when the vehicle made contact with a lane marker. ",
13387,AJ,09,"The AV Test Driver took control from the autonomous system due to undesirable lane placement.  AV Test Drivers consider various factors, including the amount of traffic and the behavior of any surrounding vehicles. In addition to their own perception, an in-vehicle display provides input on the vehicle's lane placement.  Also incorporated is an advanced system for fluid exchange between the driver and the system without the need for buttons or switches.  This allows the AV Test Drivers to take control to provide a transitory adjustment.  In this case, the AV Test Driver took control from the autonomous system in response to the lateral movement of the vehicle within the lane. ",
4609,AJ,23,The AV Test Driver took control of the vehicle due to unexpected road conditions rendering continued AV operation unadvisable.  These may include unexpected sun glare or other unplanned conditions.  ,
4820,AJ,23,"The autonomous system perceives and understands the environment by processing raw camera and radar inputs, detecting surfaces and objects in a scene, and calculating distance, velocity and motion vector for every pixel.  Ghost AV Test Drivers are trained to disengage proactively.  The AV Test Driver took control of the vehicle in response to unexpected braking or the system braking with too much or too little force in the particular driving environment.",
25683,DC,19,Object Perception: localization problem led to planned trajectory that overlaps with curb,
25681,DC,19,Object Perception: localization problem led to planned trajectory that overlaps with curb,
25678,DC,19,Object Perception: late to perceive animal crossing road,
25679,DC,19,Planning Logic: planner inadequately yields to lead vehicle at traffic light,
25697,DC,19,Planning Logic: planner inadequately yields to vehicle performing multi-point turn ahead,
25677,DC,19,Object Perception: late to perceive animal crossing road,
25685,DC,19,Object Perception: localization problem led to planned trajectory that overlaps with curb,
25688,DC,19,Planning Logic: planner inadequately yields to lead vehicle making a left turn,
25674,DC,19,Planning Logic: planner inadequately yields for cyclist in bike lane,
25687,DC,19,Plannig Logic/Object Perception: incorrectly perceived trajectory of a nearby object led to a planned trajectory that overlaps with a nearby cyclist,
25675,DC,19,Object Perception: late to perceive animal crossing the road,
25676,DC,19,Planning Logic: agent reversing from driveway inaccurately perceived as parked,
25695,DC,19,Planning Logic: planned trajectory fails to avoid vehicle stopped ahead intersection,
25684,DC,19,Object Perception: localization problem led to planned trajectory that overlaps with curb,
25689,DC,19,Object Perception: inaccurate perception of red traffic signal results in a planned trajectory that overlaps with a crosstraffic vehicle,
25692,DC,19,Object Perception: late to perceive animal crossing road,
25694,DC,19,Object Perception: inaccurate perception of animal slowly crossing road leads to planned trajectory overlap,
25696,DC,19,Planning Logic: planner inadequately yields for cross traffic agent with right-of-way,
25691,DC,19,Object Perception: late to perceive animal crossing road,
25672,DC,19,Object Perception: localization problem led to planned trajectory that overlaps with curb,
13974,BB,22,Test driver decided to take over driving task due to unnecessary lane change.,
13981,BB,22,Test driver decided to resume control to ensure vehicle maintain desired path.,
14036,BB,22,Test driver decided to resume control to ensure vehicle maintain desired path.,
14027,BB,22,Test driver decided to take over driving task to give another road user priority.,
13977,BB,22,Test driver resumed control due to obstacle in path.,
14013,BB,22,Test driver decided to resume control to ensure vehicle maintain desired path.,
14018,BB,22,Test driver decided to resume control to ensure vehicle maintain desired path.,
13992,BB,22,Test driver decided to resume control to ensure vehicle maintain desired path.,
13945,BB,22,Test driver decided to resume control to ensure vehicle maintain desired path.,
13993,BB,22,Test driver decided to resume control to ensure vehicle maintain desired path.,
14066,BB,22,Traffic conditions: test driver decided to resume control to ensure comfortable distance from other road users.,
14061,BB,22,Test driver decided to take over driving task to give another road user priority.,
13938,BB,22,Test driver decided to take over driving task to give another road user priority.,
13944,BB,22,Test driver decided to resume control to ensure vehicle maintain desired path.,
13988,BB,22,Test driver decided to resume control to ensure vehicle maintain desired path.,
14016,BB,22,Test driver decided to resume control to ensure vehicle maintain desired path.,
13956,BB,22,Test driver decided to resume control to ensure vehicle maintain desired path.,
14045,BB,22,Test driver decided to take over driving task to give another road user priority.,
13929,BB,22,Test driver decided to take over driving task to keep junction clear.,
13949,BB,22,Test driver decided to resume control to ensure vehicle maintain desired path.,
30366,DH,18,Unexpected result from the GPS system in the given traffic conditions,
30333,DH,18,Unexpected result from the GPS system in the given traffic conditions,
30336,DH,18,Unexpected result from the GPS system in the given traffic conditions,
30342,DH,18,Unexpected result from the planning system in road works conditions,
30346,DH,18,Unexpected result from the GPS system in the given traffic conditions,
30354,DH,18,Unexpected result from the GPS system in the given traffic conditions,
30339,DH,18,Unexpected result from the planning system in road works conditions,
30358,DH,18,Unexpected result from the GPS system in the given traffic conditions,
30338,DH,18,Unexpected result from the perception system in road works conditions,
30335,DH,18,Unexpected result from the path planner in the given traffic conditions,
30353,DH,18,Unexpected result from the GPS system in the given traffic conditions,
30372,DH,18,Unexpected result from the GPS system in the given traffic conditions,
30328,DH,18,Unexpected result from the GPS system in the given traffic conditions,
30362,DH,18,Unexpected result from the planning system in the given traffic conditions,
30357,DH,18,Disengagement decided by the driver to avoid the road work condition,
30371,DH,18,Unexpected result from the perception system in the given traffic conditions,
30348,DH,18,Unexpected result from the GPS system in the given traffic conditions,
30352,DH,18,Unexpected result from the GPS system in the given traffic conditions,
30367,DH,18,Unexpected result from the GPS system in the given traffic conditions,
30325,DH,18,Unexpected result from the GPS system in the given traffic conditions,
30691,DL,18,Software Discrepancy,
30641,DL,18,Software Discrepancy,
30618,DL,18,Software Discrepancy,
30706,DL,18,Software Discrepancy,
30588,DL,18,Other Road User,
30707,DL,18,Map Discrepancy,
30594,DL,18,Software Discrepancy,
30614,DL,18,Software Discrepancy,
30654,DL,18,Software Discrepancy,
30682,DL,18,Software Discrepancy,
30584,DL,18,Software Discrepancy,
30596,DL,18,Software Discrepancy,
30649,DL,18,Map Discrepancy,
30705,DL,18,Software Discrepancy,
30605,DL,18,Software Discrepancy,
30722,DL,18,Software Discrepancy,
30601,DL,18,Software Discrepancy,
30615,DL,18,Map Discrepancy,
30716,DL,18,Software Discrepancy,
30692,DL,18,Software Discrepancy,
21707,AX,19,"precautionary takeover to address perception, other road user behaving poorly",
17996,AX,19,"precautionary takeover to address planning, AV attempted unsuccesful left turn",
21690,AX,19,"precautionary takeover to address perception, 
other road user behaving poorly",
21738,AX,19,"precautionary takeover to address perception, 
other road user behaving poorly",
17997,AX,19,"precautionary takeover to address planning, third party lane encroachment",
21709,AX,19,"precautionary takeover to address perception, 
other road user behaving poorly",
21728,AX,19,"precautionary takeover to address perception, third party lane obstruction",
18018,AX,20,"precautionary takeover to address planning, third party lane encroachment",
18011,AX,20,"precautionary takeover to address planning, third party lane obstruction",
21706,AX,19,"precautionary takeover to address perception, 
other road user behaving poorly",
21733,AX,19,"precautionary takeover to address planning, 
precautionary takeover to address perception, 
other road user behaving poorly",
21727,AX,19,"precautionary takeover to address planning, third party lane obstruction",
15795,AX,21,Precautionary takeover to address planning; yielding to cross traffic,
21687,AX,19,precautionary takeover to address planning,
21702,AX,19,"precautionary takeover to address perception, 
other road user behaving poorly",
15791,AX,21,Precautionary takeover to address controls; yielding to cross traffic,
13249,AX,21,"Other road user behaving poorly, making illegal left turn in front of AV that was traveling straight",
21726,AX,19,"precautionary takeover to address perception, 
other road user behaving poorly",
15785,AX,21,Precautionary takeover to address perception; lane keeping,
21731,AX,19,"precautionary takeover to address planning, AV made unsuccessful left turn",
30435,DI,18,Deficiency of sensor set ,
30421,DI,18,Deficiency of sensor set ,
30433,DI,18,Deficiency of sensor set ,
30411,DI,18,Reckless driving of other traffic participant ,
30390,DI,18,Deficiency of sensor set ,
30386,DI,18,Algorithmic deficiency ,
30400,DI,18,Algorithmic deficiency in tracking module,
30380,DI,18,Hardware problem ,
30389,DI,18,False positive sensor object ,
30409,DI,18,Algorithmic deficiency in tracking module,
30393,DI,18,Algorithmic deficiency in tracking module,
30397,DI,18,False positive sensor object ,
30379,DI,18,Deficiency of sensor set ,
30384,DI,18,Reckless driving of other traffic participant ,
30415,DI,18,Reckless driving of other traffic participant ,
30430,DI,18,Reckless driving of other traffic participant ,
30406,DI,18,Reckless driving of other traffic participant ,
30418,DI,18,Deficiency of sensor set ,
30398,DI,18,Algorithmic deficiency in tracking module,
30404,DI,18,Reckless driving of other traffic participant ,
21802,CY,19,Localization accuracy fell below safety threshold due to weather conditions,
21792,CY,19,Error in perception system detection due to weather conditions,
21808,CY,19,Localization accuracy fell below safety threshold due to weather conditions,
21805,CY,19,Localization accuracy fell below safety threshold due to weather conditions,
21800,CY,19,Localization accuracy fell below safety threshold due to weather conditions,
21818,CY,19,Undesired motion planning behavior due to traffic conditions,
21788,CY,19,Error in perception system detection due to weather conditions,
21767,CY,19,System kickout due to hardware due to road surface conditions,
21765,CY,19,System kickout due to hardware due to road surface conditions,
21803,CY,19,Undesired motion planning behavior due to traffic conditions,
21813,CY,19,Localization accuracy fell below safety threshold due to weather conditions,
21780,CY,19,Localization accuracy fell below safety threshold due to weather conditions,
21824,CY,19,Poor traffic light perception accuracy due to traffic conditions,
21766,CY,19,Localization accuracy fell below safety threshold due to weather conditions,
21774,CY,19,System kickout due to hardware due to road surface conditions,
21759,CY,18,Error in perception system detection due to weather conditions,
21760,CY,18,Error in perception system detection due to weather conditions,
21823,CY,19,Undesired motion planning behavior due to traffic conditions,
21782,CY,19,Undesired motion planning behavior due to traffic conditions,
21755,CY,18,Undesired motion planning behavior due to traffic conditions,
5455,AL,22,Precautionary Takeover: Disengaged due to a vehicle platform software issue within the Autonomous Vehicle's (AV) controller interface sub-system,
5708,AL,23,Precautionary Takeover: Disengaged due to a vehicle platform software issue pertinent to the compute infrastructure sub-system,
5722,AL,23,Precautionary Takeover: Disengaged due to a vehicle platform software issue within the Autonomous Vehicle's (AV) controller interface sub-system,
5567,AL,23,Precautionary Takeover: Disengaged due to a vehicle platform software issue within the Autonomous Vehicle's (AV) controller interface sub-system,
5690,AL,23,Precautionary Takeover: Disengaged due to a vehicle platform software issue within the Autonomous Vehicle's (AV) controller interface sub-system,
5973,AL,23,Precautionary Takeover: Disengaged due to a vehicle platform software issue pertinent to the compute infrastructure sub-system,
5604,AL,23,Precautionary Takeover: Disengaged due to a vehicle platform software issue related to the sensor data processing pipelines,
5969,AL,23,Precautionary Takeover: Disengaged due to a vehicle platform software issue within the Autonomous Vehicle's (AV) controller interface sub-system,
5752,AL,23,Precautionary Takeover: Disengaged due to a vehicle platform software issue pertinent to the compute infrastructure sub-system,
5448,AL,22,Precautionary Takeover: Disengaged due to a vehicle platform software issue within the Autonomous Vehicle's (AV) controller interface sub-system,
5640,AL,23,Precautionary Takeover: Disengaged due to a vehicle platform software issue within the Autonomous Vehicle's (AV) controller interface sub-system,
5979,AL,23,Precautionary Takeover: Disengaged due to a vehicle platform software issue related to the sensor data processing pipelines,
5890,AL,23,Precautionary Takeover: Disengaged due to a vehicle platform software issue within the Autonomous Vehicle's (AV) controller interface sub-system,
5850,AL,23,Precautionary Takeover: Disengaged due to a vehicle platform software issue within the Autonomous Vehicle's (AV) controller interface sub-system,
6010,AL,23,Precautionary Takeover: Disengaged due to a vehicle platform software issue within the Autonomous Vehicle's (AV) controller interface sub-system,
5909,AL,23,Precautionary Takeover: Disengaged due to a vehicle platform software issue within the Autonomous Vehicle's (AV) controller interface sub-system,
5746,AL,23,Precautionary Takeover: Disengaged due to a vehicle platform software issue within the Autonomous Vehicle's (AV) controller interface sub-system,
5742,AL,23,Precautionary Takeover: Disengaged due to a vehicle platform software issue within the Autonomous Vehicle's (AV) controller interface sub-system,
5801,AL,23,Precautionary Takeover: Disengaged due to a vehicle platform software issue within the Autonomous Vehicle's (AV) controller interface sub-system,
5977,AL,23,Precautionary Takeover: Disengaged due to a vehicle platform software issue within the Autonomous Vehicle's (AV) controller interface sub-system,
6307,AP,23,"Weather(Sunny), Daylight: Safety Decision - Car coming to close to AV, from the adjacent lane (Safety Takeover)",
6308,AP,23,"Weather(Sunny), Daylight: Computing issue - AV didn't engage at 4 way stop - Car stayed still when it was its turn to go for unknown reason",
6296,AP,23,"Weather(Sunny), Daylight: Computing issue - Software Crash - Localization component stopped working for unknown reasons",
6302,AP,23,"Weather(Sunny), Daylight: Safety Decision - Pedestrian on the road, on a defined crosswalk (Safety takeover)",
6294,AP,23,"Weather(Sunny), Daylight: ODD - Car double parked on our lane - Test car not allowed to go over the double yellow lane marking",
6292,AP,23,"Weather(Sunny), Daylight: ODD - Car double parked on our lane - Test car not allowed to go over the double yellow lane marking",
6300,AP,23,"Weather(Sunny), Daylight: ODD - Car double parked on our lane - Test car not allowed to go over the double yellow lane marking",
6309,AP,23,"Weather(Sunny), Daylight: Safety Decision - Pedestrian on the road, not on a defined crosswalk (Safety takeover)",
6295,AP,23,"Weather(Sunny), Daylight: Safety Decision - Pedestrian on the road, on a defined crosswalk (Safety takeover)",
6301,AP,23,"Weather(Sunny), Daylight: Safety Decision - Pedestrian on the road, on a defined crosswalk (Safety takeover)",
6290,AP,23,"Weather(Sunny), Daylight: ODD - Car double parked on our lane - Test car not allowed to go over the double yellow lane marking",
6297,AP,23,"Weather(Sunny), Daylight: Safety Decision - 4 way Stop, Car started when it was its turn, impatient driver forced his way (Safety Takeover)",
6293,AP,23,"Weather(Sunny), Daylight: Perception issue - Green light not detected after switch from red, car stood still, camera perception issue",
6306,AP,23,"Weather(Sunny), Daylight: Safety Decision - 4 way Stop, Car started when it was his turn, impatient driver forced his way (Safety Takeover)",
6303,AP,23,"Weather(Sunny), Daylight: ODD - Car double parked on our lane - Test car not allowed to go over the double yellow lane marking",
6289,AP,23,"Weather(Sunny), Daylight: Safety Decision - Car Crash in front of the Vehicle in its lane, (safety takeover)",
6305,AP,23,"Weather(Sunny), Daylight: Perception Issue - AV too close to front vehicle - Distance Calculation error",
6304,AP,23,"Weather(Sunny), Daylight: Perception Issue - AV too close to front vehicle - Distance Calculation error",
6291,AP,23,"Weather(Sunny), Daylight: Safety Decision - Pedestrian on the road, not on a defined crosswalk (Safety takeover)",
6298,AP,23,"Weather(Sunny), Daylight: Perception issue - Green light not detected after switch from red, car stood still, camera perception issue",
19703,AO,20,Driver disengagement due to planning discrepancy in the recommendation of lane change,
6170,AO,23,Driver disengagement due to safety monitor notification of positioning error,
6104,AO,23,Driver disengagement due to planning discrepancy in the determination of autonomous vehicle speed,
16635,AO,21,Driver disengagement due to safety monitor notification of planning discrepancy in the determination of vehicle trajectory,
14351,AO,22,Driver disengagement due to planning discrepancy in the determination of autonomous vehicle speed,
14379,AO,22,Driver disengagement due to safety monitor notification of sensor input delay,
6238,AO,23,Driver disengagement due to safety monitor notification of sensor input delay,
6228,AO,23,Driver disengagement due to safety monitor notification of sensor input delay,
6129,AO,23,Driver disengagement due to safety monitor notification of positioning error,
6196,AO,23,Driver disengagement due to conditions exceeding ODD,
6286,AO,23,Driver disengagement due to safety monitor notification of sensor input delay,
6178,AO,23,Driver disengagement due to safety monitor notification of planning discrepancy in the determination of vehicle trajectory,
6191,AO,23,Driver disengagement due to planning discrepancy in the determination of autonomous vehicle speed,
6137,AO,23,Driver disengagement due to safety monitor notification of positioning error,
16637,AO,21,Driver disengagement due to safety monitor notification of planning discrepancy in the planning of lane change,
16605,AO,21,Driver disengagement due to safety monitor notification of planning discrepancy in the determination of vehicle trajectory,
14308,AO,22,Driver disengagement due to safety monitor notification of positioning error,
19621,AO,20,Driver precautionary disengagement due to aggressive cut-in by other vehicle,
19693,AO,20,Driver disengagement due to safety monitor notification of general system discrepancy,
6169,AO,23,Driver disengagement due to safety monitor notification of planning discrepancy in the determination of vehicle trajectory,
14781,BL,22,Prediction discrepancy; incorrect trajectory estimation of another vehicle making an illegal maneuver from a left turn only lane.,
14792,BL,22,Prediction discrepancy; incorrect trajectory estimation of another vehicle making a lane change into Zoox’s lane from adjacent lane.,
